269,142
269,143
269,144
270,144
269,145
270,145
269,146
270,146
269,147
270,147
271,147
269,148
270,148
271,148
269,149
270,149
271,149
269,150
270,150
271,150
272,150
269,151
270,151
271,151
272,151
269,152
270,152
271,152
272,152
269,153
270,153
271,153
272,153
269,154
270,154
271,154
272,154
269,155
270,155
271,155
272,155
273,155
269,156
270,156
271,156
272,156
273,156
269,157
270,157
271,157
272,157
273,157
269,158
270,158
271,158
272,158
273,158
269,159
270,159
271,159
272,159
273,159
269,160
270,160
271,160
272,160
273,160
269,161
270,161
271,161
272,161
273,161
269,162
270,162
271,162
272,162
273,162
269,163
270,163
271,163
272,163
269,164
270,164
271,164
272,164
269,165
270,165
271,165
272,165
269,166
270,166
271,166
272,166
269,167
270,167
271,167
272,167
269,168
270,168
271,168
272,168
269,169
270,169
271,169
272,169
269,170
270,170
271,170
272,170
269,171
270,171
271,171
269,172
270,172
271,172
269,173
270,173
271,173
269,174
270,174
269,175
270,175
269,176
269,177
